topology,activation,equation,sigma2_median,sigma2_iqr_lo,sigma2_iqr_hi,sigma2_min,sigma2_max,fan_in,He_target_sigma2,ratio_median_to_He,n_pinned_to_floor
deep_narrow,aggregation,-0.0383016545544630,0.038301654554463,0.038301654554463,0.038301654554463,0.038301654554463,0.038301654554463,32,0.0625,0.612826472871408,0
deep_narrow,linear,n_d_ratio**2,0.3643663354918871,0.16672422116685973,0.5072088014180374,0.0018796119082557204,13.421388840059207,32,0.0625,5.829861367870193,0
deep_narrow,rectification,0.0195246700939174,0.0195246700939174,0.0195246700939174,0.0195246700939174,0.0195246700939174,0.0195246700939174,32,0.0625,0.3123947215026784,0
deep_narrow,smooth,-0.119742648004175*sin(sin(iqr_dev)),0.027429509385923374,0.026879260409532122,0.027436877751320015,0.024504214930909277,0.027437436943619737,32,0.0625,0.438872150174774,0
deep_narrow,squashing,0.0297326363843313*sqrt(Abs(feat_kurtosis)) + 0.00465900679264226,0.02683115548379711,0.022469280053187025,0.02711762065714235,0.018311248002416416,0.035288863957357704,32,0.0625,0.42929848774075374,0
funnel,aggregation,0.00111964582576813,0.00111964582576813,0.00111964582576813,0.00111964582576813,0.00111964582576813,0.00111964582576813,91,0.02197802197802198,0.05094388507244991,0
funnel,linear,0.785572724006331,0.785572724006331,0.785572724006331,0.785572724006331,0.785572724006331,0.785572724006331,91,0.02197802197802198,35.74355894228806,0
funnel,rectification,-0.0633807484236808*pc_eigen*sqrt(Abs(n_d_ratio)),0.011906354511309093,0.009792507732927462,0.012910738852126647,0.0031907529844938404,0.02933213083725091,91,0.02197802197802198,0.5417391302645637,0
funnel,smooth,0.0297326363843313*davies_bouldin - 0.0297326363843313*target_entropy,0.014068350633860065,0.005516335461487807,0.03327202098545904,0.000467444072465871,0.06681563677919718,91,0.02197802197802198,0.640109953840633,0
funnel,squashing,-0.0229362957012469*silhouette,0.01481775382729748,0.008816459120764555,0.023665505310041975,0.0014241662363856224,0.03493750077215898,91,0.02197802197802198,0.6742077991420353,0
shallow,aggregation,0.0297326363843313*sin(0.398492264818324/davies_bouldin),0.020109334435454873,0.017716028769282407,0.028256743551630496,0.0045142487898946005,0.02972955930446546,64,0.03125,0.6434987019345559,0
shallow,linear,n_d_ratio - exp(pc_eigen),1.3354713095151556,1.0338685906224736,1.4974076222669197,0.0758373483846897,2.8782996811958927,64,0.03125,42.73508190448498,0
shallow,rectification,-sin(0.0243970223673645*iqr_dev*n_d_ratio),0.003435442737250874,0.002324061406734099,0.004039854169082481,0.00024097319186811204,0.020850409650912387,64,0.03125,0.10993416759202797,0
shallow,smooth,log((Abs(n_d_ratio) + 1/100000)**(-0.0308059658594664)),0.015741841327648155,0.010560571467165039,0.028042629058569846,0.0072935628401973335,0.09667264345529952,64,0.03125,0.503738922484741,0
shallow,squashing,0.0432484823334625*n_d_ratio,0.026105979601086505,0.017659167281959275,0.03080096068850592,0.0018750159472605994,0.15844173931725125,64,0.03125,0.8353913472347682,0
