topology,activation,best_accuracy_rank,best_loss_rank,best_epoch_rank,rank1_acc,rank1_loss,rank1_epochs,rank1_faithful,loss_ratio_rank1_to_best
deep_narrow,aggregation,2,2,2,0.7714528088569641,0.8751321638524532,18.792,False,1.1335442151155593
deep_narrow,linear,5,5,5,0.7056576273441315,19814687.2409257,20.672,False,5606801.122063863
deep_narrow,rectification,1,3,5,0.7807375893592835,0.6870416146218776,19.168,False,1.055785608780618
deep_narrow,smooth,3,5,5,0.771455353975296,0.8495014217495919,18.816,False,1.0706182656128491
deep_narrow,squashing,1,1,2,0.773246407032013,0.4765618133544922,18.776,True,1.0
funnel,aggregation,5,4,5,0.7725812993049621,0.5594900995492935,18.952,False,1.0168280530501894
funnel,linear,1,1,4,0.7213588678836822,480.8608918123245,20.12,True,1.0
funnel,rectification,5,4,4,0.7913378703594208,0.6555415073335171,16.568,False,1.0380466190327515
funnel,smooth,4,4,4,0.7931737341880798,0.6855204571485519,17.304,False,1.039583868303224
funnel,squashing,3,4,5,0.7860372414588929,0.5438804912567139,17.504,False,1.047698148563207
shallow,aggregation,3,1,3,0.781973925113678,0.49241368687152864,16.984,False,1.0
shallow,linear,2,2,2,0.7122997037172317,11.724797133505344,20.752,False,3.6158166531483213
shallow,rectification,5,5,5,0.7825655617713928,0.5342864577174187,17.144,False,1.0528191134606084
shallow,smooth,1,4,2,0.7847804548740387,0.5297469785809517,17.168,False,1.0278942233090045
shallow,squashing,4,3,1,0.7781985759735107,0.43385102120041846,17.784,False,1.0109360778954648
